Reference_Number,Reference_Text,Citation_Count,Context_1,Context_2,Context_3,All_Match_Texts,Pattern_Types,Paragraph_Locations
27,Cohen WW (1 99 6) Learning rules that classify e-mail. In AAAI spring symposium on machine learning in,4,"n recent times, various machine learning techniques have been applied to text categorization or Anti-Spam Filtering like Rule Learning (Cohen 1 99 6) [ 2 7 ], Naïve Bayes (Sahami et al., 1 99 8; Androutsopoulos et al., 2 00 0; Rennie.,2 00 0) [ 5 , 1 09 , 1 15 ],Memory based Learning (Sakkiset al.,2...","n recent times, various machine learning techniques have been applied to text categorization or Anti-Spam Filtering like Rule Learning (Cohen 1 99 6) [ 2 7 ], Naïve Bayes (Sahami et al., 1 99 8; Androutsopoulos et al., 2 00 0; Rennie.,2 00 0) [ 5 , 1 09 , 1 15 ],Memory based Learning (Sakkiset al.,2...","orization and in recent times, various machine learning techniques have been applied to text categorization or Anti-Spam Filtering like Rule Learning (Cohen 1 99 6) [ 2 7 ], Naïve Bayes (Sahami et al., 1 99 8; Androutsopoulos et al., 2 00 0; Rennie.,2 00 0) [ 5 , 1 09 , 1 15 ],Memory based Learning ...","[ 2 7 ] | [ 2 7 ] | (Cohen
1 99 6) [ 2 7 ] | Reuters articles
and saves much time by doing the work that is to be done by staff or human indexers. Some
companies have been using categorization systems to categorize trouble tickets or complaint
requests and routing to the appropriate desks. Another application of text categorization is
email spam filters. Spam filters are becoming important as the first line of defence against the
unwanted emails. A false negative and false positive issue of spam filters is at the heart of NLP
technology, it has brought down the challenge of extracting meaning from strings of text. A
filtering solution that is applied to an email system uses a set of protocols to determine which
of the incoming messages are spam; and which are not. There are several types of spam filters
available. Content filters : Review the content within the message to determine whether it is
spam or not. Header filters : Review the email header looking for fake information. General
Blacklist filters : Stop all emails from blacklisted recipients. Rules Based Filters : It uses user-
defined criteria. Such as stopping mails from a specific person or stopping mail including a
specific word. Permission Filters : Require anyone sending a message to be pre-approved by
the recipient. Challenge Response Filters : Requires anyone sending a message to enter a code
to gain permission to send email.
c)
Spam Filtering
It works using text categorization and in recent times, various machine learning techniques
have been applied to text categorization or Anti-Spam Filtering like Rule Learning (Cohen
1 99 6) [ 2 7 ]",Format_2 7_Pattern_1 | Format_2 7_Pattern_2 | Format_2 7_Pattern_5 | Format_2 7_Pattern_6,"38, 38, 38, 38"
28,"Cohen PR, Morgan J, Ramsay AM (2 00 2) Intention in communication, Am J Psychol 1 04(4)",4,"inchor,1 99 3) [ 1 31 , 1 57 ]. Work on user modeling (Wahlster and Kobsa, 1 98 9) [ 1 42 ] was one strand in a research paper. Cohen et al. (2 00 2) [ 2 8 ] had put forwarded a first approximation of a compositional theory of tune interpretation, together with phonological assumptions on which it i...","inchor,1 99 3) [ 1 31 , 1 57 ]. Work on user modeling (Wahlster and Kobsa, 1 98 9) [ 1 42 ] was one strand in a research paper. Cohen et al. (2 00 2) [ 2 8 ] had put forwarded a first approximation of a compositional theory of tune interpretation, together with phonological assumptions on which it i...","im and Chinchor,1 99 3) [ 1 31 , 1 57 ]. Work on user modeling (Wahlster and Kobsa, 1 98 9) [ 1 42 ] was one strand in a research paper. Cohen et al. (2 00 2) [ 2 8 ] had put forwarded a first approximation of a compositional theory of tune interpretation, together with phonological assumptions on w...",[ 2 8 ] | [ 2 8 ] | (2 00 2) [ 2 8 ] | Cohen et al. (2 00 2) [ 2 8 ],Format_2 8_Pattern_1 | Format_2 8_Pattern_2 | Format_2 8_Pattern_5 | Format_2 8_Pattern_6,"28, 28, 28, 28"
29,"Collobert R, Weston J (2 00 8) A unified architecture for natural language processing. In proceedings of the",3,"al. [ 1 2 ] proposed the concept of feed forward neural network and lookup table which represents the n previous words in sequence. Collobert et al. [ 2 9 ] proposed the application of multitask learning in the field of NLP, where two convolutional models with max pooling were used to perform parts-...","al. [ 1 2 ] proposed the concept of feed forward neural network and lookup table which represents the n previous words in sequence. Collobert et al. [ 2 9 ] proposed the application of multitask learning in the field of NLP, where two convolutional models with max pooling were used to perform parts-...","words. Bendigo et al. [ 1 2 ] proposed the concept of feed forward neural network and lookup table which represents the n previous words in sequence. Collobert et al. [ 2 9 ] proposed the application of multitask learning in the field of NLP, where two convolutional models with max pooling were used...",[ 2 9 ] | [ 2 9 ] | Collobert et al. [ 2 9 ],Format_2 9_Pattern_1 | Format_2 9_Pattern_2 | Format_2 9_Pattern_6,"29, 29, 29"
30,"Dai Z, Yang Z, Yang Y, Carbonell J, Le QV, Salakhutdinov R, (2 01 9) Transformer-xl: attentive language",3,learning longer-term dependency but are limited by a fixed-length context in the setting of language modeling. In this direction recently Dai et al. [ 3 0 ] proposed a novel neural architecture Transformer-XL (XL as extra- long) which enables learning dependencies beyond a fixed length of words. Fur...,learning longer-term dependency but are limited by a fixed-length context in the setting of language modeling. In this direction recently Dai et al. [ 3 0 ] proposed a novel neural architecture Transformer-XL (XL as extra- long) which enables learning dependencies beyond a fixed length of words. Fur...,"nce with the current hidden state and annotation together with the use of transformers have also made a significant development in NLP, see [ 1 41 ]. It is to be noticed that Transformers have a potential of learning longer-term dependency but are limited by a fixed-length context in the setting of ...","[ 3 0 ] | [ 3 0 ] | It is to be noticed that Transformers have a potential of learning longer-term dependency
but are limited by a fixed-length context in the setting of language modeling. In this direction
recently Dai et al. [ 3 0 ]",Format_3 0_Pattern_1 | Format_3 0_Pattern_2 | Format_3 0_Pattern_6,"31, 31, 31"
31,"Davis E, Marcus G (2 01 5) Commonsense reasoning and commonsense knowledge in artificial intelli-",3,"view work by Alshemali and Kalita (2 02 0) [ 3 ], and references cited there in. In the recent past, models dealing with Visual Commonsense Reasoning [ 3 1 ] and NLP have also been getting attention of the several researchers and seems a promising and challenging area to work upon. These models try ...","view work by Alshemali and Kalita (2 02 0) [ 3 ], and references cited there in. In the recent past, models dealing with Visual Commonsense Reasoning [ 3 1 ] and NLP have also been getting attention of the several researchers and seems a promising and challenging area to work upon. These models try ...","l challenges relevant to management research and NLP, and a recent review work by Alshemali and Kalita (2 02 0) [ 3 ], and references cited there in. In the recent past, models dealing with Visual Commonsense Reasoning [ 3 1 ] and NLP have also been getting attention of the several researchers and s...","[ 3 1 ] | [ 3 1 ] | In the recent past, models dealing with Visual Commonsense Reasoning [ 3 1 ]",Format_3 1_Pattern_1 | Format_3 1_Pattern_2 | Format_3 1_Pattern_6,"70, 70, 70"
32,"Desai NP, Dabhi VK (2 02 2) Resources and components for Gujarati NLP systems: a survey. Artif Intell",1,"that even though a great amount of work on natural language processing is available in literature surveys (one may refer to [ 1 5 , 3 2 , 6 3 , 9 8 , 1 33 , 1 51 ] focusing on one domain such as usage of deep-learning techniques in NLP, techniques used for email spam filtering, medication safety, ma...",,,"[ 1 5 , 3 2 , 6 3 , 9 8 , 1 33 , 1 51 ]",Format_3 2_Pattern_2,73
33,"Devlin J, Chang MW, Lee K, Toutanova K, (2 01 8) Bert: pre-training of deep bidirectional transformers for",5,"relevant references cited therein. The use of BERT (Bidirectional Encoder Representations from Transformers) [ 3 3 ] model and successive models have also played an important role for NLP. Many researchers worked on NLP, building tools and systems which makes NLP wh","relevant references cited therein. The use of BERT (Bidirectional Encoder Representations from Transformers) [ 3 3 ] model and successive models have also played an important role for NLP. Many researchers worked on NLP, building tools and systems which makes NLP wh","relevant references cited therein. The use of BERT (Bidirectional Encoder Representations from Transformers) [ 3 3 ] model and successive models have also played an important role for NLP. Many researchers worked on NLP, building tools and systems which makes NLP wh","[ 3 3 ] | [ 3 3 ] | (Bidirectional Encoder Representations
from Transformers) [ 3 3 ] | The use of BERT (Bidirectional Encoder Representations
from Transformers) [ 3 3 ] | [ 2 5 , 3 3 , 9 0 , 1 48 ]",Format_3 3_Pattern_1 | Format_3 3_Pattern_2 | Format_3 3_Pattern_5 | Format_3 3_Pattern_6 | Format_3 3_Pattern_2,"33, 33, 33, 33, 63"
34,"Diab M, Hacioglu K, Jurafsky D (2 00 4) Automatic tagging of Arabic text: From raw text to base phrase",4,"each word using suffix stripping algorithm, wherein the longest suffix is searched from the suffix table and tags are assigned. Diab et al. (2 00 4) [ 3 4 ] used supervised machine learning approach and adopted Support Vector Machines (SVMs) which were trained on the Arabic Treebank to automati- cal...","each word using suffix stripping algorithm, wherein the longest suffix is searched from the suffix table and tags are assigned. Diab et al. (2 00 4) [ 3 4 ] used supervised machine learning approach and adopted Support Vector Machines (SVMs) which were trained on the Arabic Treebank to automati- cal...","te tag to each word using suffix stripping algorithm, wherein the longest suffix is searched from the suffix table and tags are assigned. Diab et al. (2 00 4) [ 3 4 ] used supervised machine learning approach and adopted Support Vector Machines (SVMs) which were trained on the Arabic Treebank to aut...","[ 3 4 ] | [ 3 4 ] | (2 00 4) [ 3 4 ] | POS Tagger for Sanskrit
Language. Sanskrit sentences are parsed to assign the appropriate tag to each word using
suffix stripping algorithm, wherein the longest suffix is searched from the suffix table and tags
are assigned. Diab et al. (2 00 4) [ 3 4 ]",Format_3 4_Pattern_1 | Format_3 4_Pattern_2 | Format_3 4_Pattern_5 | Format_3 4_Pattern_6,"33, 33, 33, 33"
35,Doddington G (2 00 2) Automatic evaluation of machine translation quality using n-gram co-occurrence,5,"8 ], multi-reference word error rate (Nießen et al., 2 00 0) [ 9 5 ], BLEU score (Papineni et al., 2 00 2) [ 1 01 ], NIST score (Doddington, 2 00 2) [ 3 5 ] All these criteria try to approximate human assessment and often achieve an astonishing degree of correlation to human subjective evaluation of...","8 ], multi-reference word error rate (Nießen et al., 2 00 0) [ 9 5 ], BLEU score (Papineni et al., 2 00 2) [ 1 01 ], NIST score (Doddington, 2 00 2) [ 3 5 ] All these criteria try to approximate human assessment and often achieve an astonishing degree of correlation to human subjective evaluation of...","ten achieve an astonishing degree of correlation to human subjective evaluation of fluency and adequacy (Papineni et al., 2 00 1; Doddington, 2 00 2) [ 3 5 , 1 01 ]. 3 72 4 Multimedia Tools and Applications (2 02 3) 8 2:3 71 3–3 74 4","[ 3 5 ] | [ 3 5 ] | [ 3 5 , 1 01 ] | (Doddington, 2 00 2) [ 3 5 ] | NIST
score (Doddington, 2 00 2) [ 3 5 ]",Format_3 5_Pattern_1 | Format_3 5_Pattern_2 | Format_3 5_Pattern_2 | Format_3 5_Pattern_5 | Format_3 5_Pattern_6,"36, 36, 36, 36, 36"
36,"Drucker H, Wu D, Vapnik VN (1 99 9) Support vector machines for spam categorization. IEEE Trans",4,", 2 00 0; Rennie.,2 00 0) [ 5 , 1 09 , 1 15 ],Memory based Learning (Sakkiset al.,2 00 0 b) [ 1 17 ], Support vector machines (Druker et al., 1 99 9) [ 3 6 ], Decision Trees (Carreras and Marquez, 2 00 1) [ 1 9 ], Maximum Entropy Model (Berger et al. 1 99 6) [ 1 4 ], Hash Forest and a rule encoding ...",", 2 00 0; Rennie.,2 00 0) [ 5 , 1 09 , 1 15 ],Memory based Learning (Sakkiset al.,2 00 0 b) [ 1 17 ], Support vector machines (Druker et al., 1 99 9) [ 3 6 ], Decision Trees (Carreras and Marquez, 2 00 1) [ 1 9 ], Maximum Entropy Model (Berger et al. 1 99 6) [ 1 4 ], Hash Forest and a rule encoding ...","; Androutsopoulos et al., 2 00 0; Rennie.,2 00 0) [ 5 , 1 09 , 1 15 ],Memory based Learning (Sakkiset al.,2 00 0 b) [ 1 17 ], Support vector machines (Druker et al., 1 99 9) [ 3 6 ], Decision Trees (Carreras and Marquez, 2 00 1) [ 1 9 ], Maximum Entropy Model (Berger et al. 1 99 6) [ 1 4 ], Hash For...","[ 3 6 ] | [ 3 6 ] | (Druker et al., 1 99 9) [ 3 6 ] | Support vector machines
(Druker et al., 1 99 9) [ 3 6 ]",Format_3 6_Pattern_1 | Format_3 6_Pattern_2 | Format_3 6_Pattern_5 | Format_3 6_Pattern_6,"38, 38, 38, 38"
37,"Dunlavy DM, O ’ Leary DP, Conroy JM, Schlesinger JD (2 00 7) QCS: A system for querying, clustering",3,59 ]; Fattah and Ren 2 00 9 [ 4 3 ]).Summaries can also be of two types: generic or query-focused (Gong and Liu 2 00 1 [ 5 0 ]; Dunlavy et al. 2 00 7 [ 3 7 ]; Wan 2 00 8 [ 1 44 ]; Ouyang et al. 2 01 1 [ 9 9 ]).Summarization task can be either supervised or unsupervised (Mani and Maybury 1 99 9 [ 7 4...,59 ]; Fattah and Ren 2 00 9 [ 4 3 ]).Summaries can also be of two types: generic or query-focused (Gong and Liu 2 00 1 [ 5 0 ]; Dunlavy et al. 2 00 7 [ 3 7 ]; Wan 2 00 8 [ 1 44 ]; Ouyang et al. 2 01 1 [ 9 9 ]).Summarization task can be either supervised or unsupervised (Mani and Maybury 1 99 9 [ 7 4...,jic et al. 2 00 8 [ 1 59 ]; Fattah and Ren 2 00 9 [ 4 3 ]).Summaries can also be of two types: generic or query-focused (Gong and Liu 2 00 1 [ 5 0 ]; Dunlavy et al. 2 00 7 [ 3 7 ]; Wan 2 00 8 [ 1 44 ]; Ouyang et al. 2 01 1 [ 9 9 ]).Summarization task can be either supervised or unsupervised (Mani an...,[ 3 7 ] | [ 3 7 ] | Dunlavy et al. 2 00 7 [ 3 7 ],Format_3 7_Pattern_1 | Format_3 7_Pattern_2 | Format_3 7_Pattern_6,"42, 42, 42"
38,Elkan C (2 00 8) Log-Linear Models and Conditional Random Fields. http://cseweb.ucsd.edu/welkan/2 50 B/,3,"between languages. Whereas generative models can become troublesome when many features are used and discriminative models allow use of more features [ 3 8 ]. Few of the examples of discriminative methods are Logistic regression and conditional random fields (CRFs), generative methods are Naive Bayes...","between languages. Whereas generative models can become troublesome when many features are used and discriminative models allow use of more features [ 3 8 ]. Few of the examples of discriminative methods are Logistic regression and conditional random fields (CRFs), generative methods are Naive Bayes...",with a resemblance that is used to spot an unknown speaker ’ s language and would bid the deep knowledge of numerous languages to perform the match. Discriminative methods rely on a less knowledge-intensive approach and using distinction between languages. Whereas generative models can become troubl...,"[ 3 8 ] | [ 3 8 ] | Discriminative methods rely on a less knowledge-intensive approach and using
distinction between languages. Whereas generative models can become troublesome when
many features are used and discriminative models allow use of more features [ 3 8 ]",Format_3 8_Pattern_1 | Format_3 8_Pattern_2 | Format_3 8_Pattern_6,"58, 58, 58"
39,"Emele MC, Dorna M (1 99 8) Ambiguity preserving machine translation using packed representations. In",1,"biguity is preserving ambiguity, e.g. (Shemtov 1 99 7; Emele & Dorna 1 99 8; Knight & Langkilde 2 00 0; Tong Gao et al. 2 01 5, Umber & Bajwa 2 01 1) [ 3 9 , 4 6 , 6 5 , 1 25 , 1 39 ]. Their objectives are closely in line with removal or minimizing ambiguity. They cover a wide range of ambiguities a...",,,"[ 3 9 , 4 6 , 6 5 , 1 25 , 1 39 ]",Format_3 9_Pattern_2,22
40,"Europarl: A Parallel Corpus for Statistical Machine Translation (2 00 5) Philipp Koehn , MT Summit 2 00 5",3,"of many sentences. b) The Europarl parallel corpus is derived from the European Parliament ’ s proceedings. It is available in 2 1 European languages [ 4 0 ]. c) WMT 14 provides machine translation pairs for English-German and English-French. Separately, these datasets comprise 4.5 million and 3 5 m...","of many sentences. b) The Europarl parallel corpus is derived from the European Parliament ’ s proceedings. It is available in 2 1 European languages [ 4 0 ]. c) WMT 14 provides machine translation pairs for English-German and English-French. Separately, these datasets comprise 4.5 million and 3 5 m...",elopment Programme for Indian Languages (TDIL) launched its own data distribution portal ( www. tdil-dc.in ) which has cataloged datasets [ 2 4 ]. 3. Machine Translation: The task of converting the text of one natural language into another language while keeping the sense of the input text is known ...,"[ 4 0 ] | [ 4 0 ] | Machine Translation: The task of converting the text of one natural language into another
language while keeping the sense of the input text is known as machine translation.
Majorly used datasets are as follows:
a)
Tatoeba is a collection of multilingual sentence pairings. A tab-delimited pair of an
English text sequence and the translated French text sequence appears on each line of
the dataset. Each text sequence might be as simple as a single sentence or as complex as a
paragraph of many sentences.
b)
The Europarl parallel corpus is derived from the European Parliament ’ s proceedings. It is
available in 2 1 European languages [ 4 0 ]",Format_4 0_Pattern_1 | Format_4 0_Pattern_2 | Format_4 0_Pattern_6,"53, 53, 53"
41,"Fan Y, Tian F, Xia Y, Qin T, Li XY, Liu TY (2 02 0) Searching better architectures for neural machine",3,dy (BLEU) scores compared to various neural machine translation systems. It outperformed the commonly used MT system on a WMT 1 4 dataset. Fan et al. [ 4 1 ] introduced a gradient-based neural architecture search algorithm that automatically finds architecture with better performance than a transfor...,dy (BLEU) scores compared to various neural machine translation systems. It outperformed the commonly used MT system on a WMT 1 4 dataset. Fan et al. [ 4 1 ] introduced a gradient-based neural architecture search algorithm that automatically finds architecture with better performance than a transfor...,of up to 2.8 bi-lingual evaluation understudy (BLEU) scores compared to various neural machine translation systems. It outperformed the commonly used MT system on a WMT 1 4 dataset. Fan et al. [ 4 1 ] introduced a gradient-based neural architecture search algorithm that automatically finds architect...,"[ 4 1 ] | [ 4 1 ] | BLEU) scores compared to various neural
machine translation systems. It outperformed the commonly used MT system on a WMT 1 4
dataset.
Fan et al. [ 4 1 ]",Format_4 1_Pattern_1 | Format_4 1_Pattern_2 | Format_4 1_Pattern_6,"57, 57, 57"
42,"Fang H, Lu W, Wu F, Zhang Y, Shang X, Shao J, Zhuang Y (2 01 5) Topic aspect-oriented summarization",3,resent entity. Various topics can have various aspects and various preferences of features are used to represent various aspects. (Fang et al. 2 01 5 [ 4 2 ]) f) Dialogue System Dialogue systems are very prominent in real world applications ranging from providing support to performing a particular a...,resent entity. Various topics can have various aspects and various preferences of features are used to represent various aspects. (Fang et al. 2 01 5 [ 4 2 ]) f) Dialogue System Dialogue systems are very prominent in real world applications ranging from providing support to performing a particular a...,utilizes document-term and sentence term matrices. This approach groups and summarizes the documents simultaneously. (Wang et al. 2 01 1) [ 1 47 ]) – Topic Aspect-Oriented Summarization (TAOS) is based on topic factors. These topic factors are various features that describe topics such as capital wo...,"[ 4 2 ] | [ 4 2 ] | Topic Aspect-Oriented Summarization (TAOS) is based on topic factors. These topic
factors are various features that describe topics such as capital words are used to represent
entity. Various topics can have various aspects and various preferences of features are
used to represent various aspects. (Fang et al. 2 01 5 [ 4 2 ]",Format_4 2_Pattern_1 | Format_4 2_Pattern_2 | Format_4 2_Pattern_6,"42, 42, 42"
43,"Fattah MA, Ren F (2 00 9) GA, MR, FFNN, PNN and GMM based models for automatic text summari-",6,he two important categories are single document summarization and multi document summari- zation (Zajic et al. 2 00 8 [ 1 59 ]; Fattah and Ren 2 00 9 [ 4 3 ]).Summaries can also be of two types: generic or query-focused (Gong and Liu 2 00 1 [ 5 0 ]; Dunlavy et al. 2 00 7 [ 3 7 ]; Wan 2 00 8 [ 1 44 ]...,]; Ouyang et al. 2 01 1 [ 9 9 ]).Summarization task can be either supervised or unsupervised (Mani and Maybury 1 99 9 [ 7 4 ]; Fattah and Ren 2 00 9 [ 4 3 ]; Riedhammer et al. 2 01 0 [ 1 10 ]). Training data is required in a supervised system for selecting relevant material from the documents. Large...,he two important categories are single document summarization and multi document summari- zation (Zajic et al. 2 00 8 [ 1 59 ]; Fattah and Ren 2 00 9 [ 4 3 ]).Summaries can also be of two types: generic or query-focused (Gong and Liu 2 00 1 [ 5 0 ]; Dunlavy et al. 2 00 7 [ 3 7 ]; Wan 2 00 8 [ 1 44 ]...,[ 4 3 ] | [ 4 3 ] | [ 4 3 ] | [ 4 3 ] | Fattah and Ren 2 00 9 [ 4 3 ] | Fattah and Ren 2 00 9 [ 4 3 ],Format_4 3_Pattern_1 | Format_4 3_Pattern_1 | Format_4 3_Pattern_2 | Format_4 3_Pattern_2 | Format_4 3_Pattern_6 | Format_4 3_Pattern_6,"42, 42, 42, 42, 42, 42"
44,Feldman S (1 99 9) NLP meets the jabberwocky: natural language processing in information retrieval.,3,"hna ” . That is why, to get the proper meaning of the sentence, the appropriate interpre- tation is considered by looking at the rest of the sentence [ 4 4 ]. f) Discourse While syntax and semantics level deal with sentence-length units, the discourse level of NLP deals with more than one sentence. ...","hna ” . That is why, to get the proper meaning of the sentence, the appropriate interpre- tation is considered by looking at the rest of the sentence [ 4 4 ]. f) Discourse While syntax and semantics level deal with sentence-length units, the discourse level of NLP deals with more than one sentence. ...","script ” . This level of processing also incorporates the semantic disambiguation of words with multiple senses (Elizabeth D. Liddy, 2 00 1) [ 6 8 ]. For example, the word “ bark ” as a noun can mean either as a sound that a dog makes or outer covering of the tree. The semantic level examines words ...","[ 4 4 ] | [ 4 4 ] | For
example, the word “ bark ” as a noun can mean either as a sound that a dog makes or outer
covering of the tree. The semantic level examines words for their dictionary interpretation or
interpretation is derived from the context of the sentence. For example: the sentence “ Krishna
is good and noble. ” This sentence is either talking about Lord Krishna or about a person
“ Krishna ” . That is why, to get the proper meaning of the sentence, the appropriate interpre-
tation is considered by looking at the rest of the sentence [ 4 4 ]",Format_4 4_Pattern_1 | Format_4 4_Pattern_2 | Format_4 4_Pattern_6,"18, 18, 18"
45,"Friedman C, Cimino JJ, Johnson SB (1 99 3) A conceptual model for clinical radiology reports. In",3,and Encoding System) that identifies clinical information in narrative reports and transforms the textual information into structured representation [ 4 5 ]. ### 3.3 NLP in talk,and Encoding System) that identifies clinical information in narrative reports and transforms the textual information into structured representation [ 4 5 ]. ### 3.3 NLP in talk,"analyze/comprehend medical sentences, and to preserve a knowledge of free text into a language independent knowledge representation [ 1 07 , 1 08 ]. The Columbia university of New York has developed an NLP system called MEDLEE (MEDical Language Extraction and Encoding System) that identifies clinica...","[ 4 5 ] | [ 4 5 ] | The Columbia university of New York has developed an
NLP system called MEDLEE (MEDical Language Extraction and Encoding System) that
identifies clinical information in narrative reports and transforms the textual information into
structured representation [ 4 5 ]",Format_4 5_Pattern_1 | Format_4 5_Pattern_2 | Format_4 5_Pattern_6,"44, 44, 44"
46,"Gao T, Dontcheva M, Adar E, Liu Z, Karahalios K Data Tone: managing ambiguity in natural language",1,"biguity is preserving ambiguity, e.g. (Shemtov 1 99 7; Emele & Dorna 1 99 8; Knight & Langkilde 2 00 0; Tong Gao et al. 2 01 5, Umber & Bajwa 2 01 1) [ 3 9 , 4 6 , 6 5 , 1 25 , 1 39 ]. Their objectives are closely in line with removal or minimizing ambiguity. They cover a wide range of ambiguities a...",,,"[ 3 9 , 4 6 , 6 5 , 1 25 , 1 39 ]",Format_4 6_Pattern_2,22
47,"Ghosh S, Vinyals O, Strope B, Roy S, Dean T, Heck L (2 01 6) Contextual lstm (clstm) models for large",2,"as word prediction, and sentence topic prediction. [ 4 7 ] In order to observe the word arrange- ment in forward and backward direction, bi-directional LSTM is explored by researchers [ 5 9 ]. In case of mach","as word prediction, and sentence topic prediction. [ 4 7 ] In order to observe the word arrange- ment in forward and backward direction, bi-directional LSTM is explored by researchers [ 5 9 ]. In case of mach",,[ 4 7 ] | [ 4 7 ],Format_4 7_Pattern_1 | Format_4 7_Pattern_2,"62, 62"
48,"Glasgow B, Mandell A, Binney D, Ghemri L, Fisher D (1 99 8) MITA: an information-extraction approach",4,open-ended questionnaires in the field of advertising. There is a system called MITA (Metlife ’ s Intelligent Text Analyzer) (Glasgow et al. (1 99 8) [ 4 8 ]) that extracts information from life insurance applications. Ahonen et al. (1 99 8) [ 1 ] suggested a mainstream framework for text mining tha...,open-ended questionnaires in the field of advertising. There is a system called MITA (Metlife ’ s Intelligent Text Analyzer) (Glasgow et al. (1 99 8) [ 4 8 ]) that extracts information from life insurance applications. Ahonen et al. (1 99 8) [ 1 ] suggested a mainstream framework for text mining tha...,consists of responses to open-ended questionnaires in the field of advertising. There is a system called MITA (Metlife ’ s Intelligent Text Analyzer) (Glasgow et al. (1 99 8) [ 4 8 ]) that extracts information from life insurance applications. Ahonen et al. (1 99 8) [ 1 ] suggested a mainstream fram...,"[ 4 8 ] | [ 4 8 ] | (Glasgow et al. (1 99 8)
[ 4 8 ] | There is a system called MITA (Metlife ’ s Intelligent Text Analyzer) (Glasgow et al. (1 99 8)
[ 4 8 ]",Format_4 8_Pattern_1 | Format_4 8_Pattern_2 | Format_4 8_Pattern_5 | Format_4 8_Pattern_6,"40, 40, 40, 40"
49,Goldberg Y (2 01 7) Neural network methods for natural language processing. Synthesis lectures on human,3,"rieval, text summarization, text classification, machine transla- tion, sentiment analysis and speech recognition. Initially focus was on feedforward [ 4 9 ] and CNN (convolutional neural network) architecture [ 6 9 ] but later researchers adopted recurrent neural networks to capture the context of ...","rieval, text summarization, text classification, machine transla- tion, sentiment analysis and speech recognition. Initially focus was on feedforward [ 4 9 ] and CNN (convolutional neural network) architecture [ 6 9 ] but later researchers adopted recurrent neural networks to capture the context of ...","d for a variety of NLP applications, including word prediction, sentence production, quality assurance, and intrusion detection systems [ 1 33 ]. (c) Neural Network Earlier machine learning techniques such as Naïve Bayes, HMM etc. were majorly used for NLP but by the end of 2 01 0, neural networks t...","[ 4 9 ] | [ 4 9 ] | Neural Network
Earlier machine learning techniques such as Naïve Bayes, HMM etc. were majorly used for
NLP but by the end of 2 01 0, neural networks transformed and enhanced NLP tasks by learning
multilevel features. Major use of neural networks in NLP is observed for word embedding
where words are represented in the form of vectors. These vectors can be used to recognize
similar words by observing their closeness in this vector space, other uses of neural networks
are observed in information retrieval, text summarization, text classification, machine transla-
tion, sentiment analysis and speech recognition. Initially focus was on feedforward [ 4 9 ]",Format_4 9_Pattern_1 | Format_4 9_Pattern_2 | Format_4 9_Pattern_6,"60, 60, 60"
50,"Gong Y, Liu X (2 00 1) Generic text summarization using relevance measure and latent semantic analysis.",3,ation (Zajic et al. 2 00 8 [ 1 59 ]; Fattah and Ren 2 00 9 [ 4 3 ]).Summaries can also be of two types: generic or query-focused (Gong and Liu 2 00 1 [ 5 0 ]; Dunlavy et al. 2 00 7 [ 3 7 ]; Wan 2 00 8 [ 1 44 ]; Ouyang et al. 2 01 1 [ 9 9 ]).Summarization task can be either supervised or unsupervised...,ation (Zajic et al. 2 00 8 [ 1 59 ]; Fattah and Ren 2 00 9 [ 4 3 ]).Summaries can also be of two types: generic or query-focused (Gong and Liu 2 00 1 [ 5 0 ]; Dunlavy et al. 2 00 7 [ 3 7 ]; Wan 2 00 8 [ 1 44 ]; Ouyang et al. 2 01 1 [ 9 9 ]).Summarization task can be either supervised or unsupervised...,portant categories are single document summarization and multi document summari- zation (Zajic et al. 2 00 8 [ 1 59 ]; Fattah and Ren 2 00 9 [ 4 3 ]).Summaries can also be of two types: generic or query-focused (Gong and Liu 2 00 1 [ 5 0 ]; Dunlavy et al. 2 00 7 [ 3 7 ]; Wan 2 00 8 [ 1 44 ]; Ouyang ...,"[ 5 0 ] | [ 5 0 ] | Summaries can also be of two types:
generic or query-focused (Gong and Liu 2 00 1 [ 5 0 ]",Format_5 0_Pattern_1 | Format_5 0_Pattern_2 | Format_5 0_Pattern_6,"42, 42, 42"
